grid,m,n,num_vertices,k,tested_k_range,total_k_subsets_checked,canonical_coefficient_vector,coefficientwise_maximum_vector,counterexample_found,passed_coefficientwise_check
3x4,3,4,12,6,2-8,924,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
3x4,3,4,12,7,2-8,792,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
3x4,3,4,12,8,2-8,495,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
3x5,3,5,15,2,2-10,105,"(0, 0, 1)","(0, 0, 1)",False,True
3x5,3,5,15,3,2-10,455,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
3x5,3,5,15,4,2-10,1365,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
3x5,3,5,15,5,2-10,3003,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
3x5,3,5,15,6,2-10,5005,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
3x5,3,5,15,7,2-10,6435,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
3x5,3,5,15,8,2-10,6435,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
3x5,3,5,15,9,2-10,5005,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
3x5,3,5,15,10,2-10,3003,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
3x6,3,6,18,2,2-12,153,"(0, 0, 1)","(0, 0, 1)",False,True
3x6,3,6,18,3,2-12,816,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
3x6,3,6,18,4,2-12,3060,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
3x6,3,6,18,5,2-12,8568,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
3x6,3,6,18,6,2-12,18564,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
3x6,3,6,18,7,2-12,31824,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
3x6,3,6,18,8,2-12,43758,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
3x6,3,6,18,9,2-12,48620,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
3x6,3,6,18,10,2-12,43758,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
3x6,3,6,18,11,2-12,31824,"(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)","(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)",False,True
3x6,3,6,18,12,2-12,18564,"(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)","(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)",False,True
3x7,3,7,21,2,2-14,210,"(0, 0, 1)","(0, 0, 1)",False,True
3x7,3,7,21,3,2-14,1330,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
3x7,3,7,21,4,2-14,5985,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
3x7,3,7,21,5,2-14,20349,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
3x7,3,7,21,6,2-14,54264,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
3x7,3,7,21,7,2-14,116280,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
3x7,3,7,21,8,2-14,203490,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
3x7,3,7,21,9,2-14,293930,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
3x7,3,7,21,10,2-14,352716,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
3x7,3,7,21,11,2-14,352716,"(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)","(0, 0, 4, 82, 259, 432, 457, 330, 165, 55, 11, 1)",False,True
3x7,3,7,21,12,2-14,293930,"(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)","(0, 0, 4, 108, 387, 740, 914, 792, 495, 220, 66, 12, 1)",False,True
3x7,3,7,21,13,2-14,203490,"(0, 0, 4, 130, 531, 1166, 1674, 1710, 1287, 715, 286, 78, 13, 1)","(0, 0, 4, 130, 531, 1166, 1674, 1710, 1287, 715, 286, 78, 13, 1)",False,True
3x7,3,7,21,14,2-14,116280,"(0, 0, 4, 164, 741, 1812, 2929, 3420, 3003, 2002, 1001, 364, 91, 14, 1)","(0, 0, 4, 164, 741, 1812, 2929, 3420, 3003, 2002, 1001, 364, 91, 14, 1)",False,True
4x4,4,4,16,2,2-8,120,"(0, 0, 1)","(0, 0, 1)",False,True
4x4,4,4,16,3,2-8,560,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
4x4,4,4,16,4,2-8,1820,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
4x4,4,4,16,5,2-8,4368,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
4x4,4,4,16,6,2-8,8008,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
4x4,4,4,16,7,2-8,11440,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
4x4,4,4,16,8,2-8,12870,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
4x5,4,5,20,2,2-10,190,"(0, 0, 1)","(0, 0, 1)",False,True
4x5,4,5,20,3,2-10,1140,"(0, 0, 2, 1)","(0, 0, 2, 1)",False,True
4x5,4,5,20,4,2-10,4845,"(0, 0, 4, 4, 1)","(0, 0, 4, 4, 1)",False,True
4x5,4,5,20,5,2-10,15504,"(0, 0, 4, 8, 5, 1)","(0, 0, 4, 8, 5, 1)",False,True
4x5,4,5,20,6,2-10,38760,"(0, 0, 4, 16, 15, 6, 1)","(0, 0, 4, 16, 15, 6, 1)",False,True
4x5,4,5,20,7,2-10,77520,"(0, 0, 4, 23, 32, 21, 7, 1)","(0, 0, 4, 23, 32, 21, 7, 1)",False,True
4x5,4,5,20,8,2-10,125970,"(0, 0, 4, 36, 64, 56, 28, 8, 1)","(0, 0, 4, 36, 64, 56, 28, 8, 1)",False,True
4x5,4,5,20,9,2-10,167960,"(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)","(0, 0, 4, 47, 106, 122, 84, 36, 9, 1)",False,True
4x5,4,5,20,10,2-10,184756,"(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)","(0, 0, 4, 66, 176, 244, 210, 120, 45, 10, 1)",False,True
